Manufacturer,Model,Vehicle_type,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Volkswagen,Jetta,Passenger,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666
Volkswagen,Passat,Passenger,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136
Volkswagen,Cabrio,Passenger,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225
Volkswagen,GTI,Passenger,2,115,98.9,68.3,163.3,2.762,14.6,26,04-01-2011,47.94684106
Volkswagen,Beetle,Passenger,2,115,98.9,67.9,161.1,2.769,14.5,26,10/20/2011,47.32963226
Volvo,S40,Passenger,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2/18/2011,66.1130568
Volvo,V40,Passenger,1.9,160,100.5,67.6,176.6,3.042,15.8,25,9/21/2011,66.4988123
Volvo,S70,Passenger,2.4,168,104.9,69.3,185.9,3.208,17.9,25,11/24/2012,70.65449545
Volvo,V70,Passenger,2.4,168,104.9,69.3,186.2,3.259,17.9,25,6/25/2011,71.1559776
Volvo,C70,Passenger,2.3,236,104.9,71.5,185.7,3.601,18.5,23,4/26/2011,101.6233572
Volvo,S80,Passenger,2.9,201,109.9,72.1,189.8,3.6,21.1,24,11/14/2011,85.73565451
